source: https://algs4.cs.princeton.edu/44sp/T,,,
base_currency_complete_name,base_currency,other_currency,other_per_base
Canadian Dollar (CAD),CAD,DZD,-
Canadian Dollar (CAD),CAD,ARS,-
Canadian Dollar (CAD),CAD,BSD,-
Canadian Dollar (CAD),CAD,BHD,-
Canadian Dollar (CAD),CAD,BDT,-
Canadian Dollar (CAD),CAD,BBD,-
Canadian Dollar (CAD),CAD,BMD,-
Canadian Dollar (CAD),CAD,BRL,-
Canadian Dollar (CAD),CAD,BGN,-
Canadian Dollar (CAD),CAD,XOF,-
Canadian Dollar (CAD),CAD,XAF,-
Canadian Dollar (CAD),CAD,CLP,-
Canadian Dollar (CAD),CAD,CNY,-
Canadian Dollar (CAD),CAD,COP,-
Canadian Dollar (CAD),CAD,XPF,-
Canadian Dollar (CAD),CAD,CRC,-
Canadian Dollar (CAD),CAD,HRK,-
Canadian Dollar (CAD),CAD,CZK,-
Canadian Dollar (CAD),CAD,DKK,-
Canadian Dollar (CAD),CAD,DOP,-
Canadian Dollar (CAD),CAD,XCD,-
Canadian Dollar (CAD),CAD,EGP,-
Canadian Dollar (CAD),CAD,EEK,-
Canadian Dollar (CAD),CAD,FJD,-
Canadian Dollar (CAD),CAD,HKD,-
Canadian Dollar (CAD),CAD,HUF,-
Canadian Dollar (CAD),CAD,ISK,-
Canadian Dollar (CAD),CAD,XDR,-
Canadian Dollar (CAD),CAD,INR,-
Canadian Dollar (CAD),CAD,IDR,-
Canadian Dollar (CAD),CAD,IRR,-
Canadian Dollar (CAD),CAD,IQD,-
Canadian Dollar (CAD),CAD,ILS,-
Canadian Dollar (CAD),CAD,JMD,-
Canadian Dollar (CAD),CAD,JOD,-
Canadian Dollar (CAD),CAD,KES,-
Canadian Dollar (CAD),CAD,KWD,-
Canadian Dollar (CAD),CAD,LBP,-
Canadian Dollar (CAD),CAD,MYR,-
Canadian Dollar (CAD),CAD,MUR,-
Canadian Dollar (CAD),CAD,MXN,-
Canadian Dollar (CAD),CAD,MAD,-
Canadian Dollar (CAD),CAD,NZD,-
Canadian Dollar (CAD),CAD,NOK,-
Canadian Dollar (CAD),CAD,OMR,-
Canadian Dollar (CAD),CAD,PEN,-
Canadian Dollar (CAD),CAD,PHP,-
Canadian Dollar (CAD),CAD,PLN,-
Canadian Dollar (CAD),CAD,QAR,-
Canadian Dollar (CAD),CAD,RON,-
Canadian Dollar (CAD),CAD,RUB,-
Canadian Dollar (CAD),CAD,SAR,-
Canadian Dollar (CAD),CAD,SGD,-
Canadian Dollar (CAD),CAD,SKK,-
Canadian Dollar (CAD),CAD,ZAR,-
Canadian Dollar (CAD),CAD,KRW,-
Canadian Dollar (CAD),CAD,LKR,-
Canadian Dollar (CAD),CAD,SDG,-
Canadian Dollar (CAD),CAD,SEK,-
Canadian Dollar (CAD),CAD,CHF,-
Canadian Dollar (CAD),CAD,TWD,-
Canadian Dollar (CAD),CAD,THB,-
Canadian Dollar (CAD),CAD,TTD,-
Canadian Dollar (CAD),CAD,TND,-
Canadian Dollar (CAD),CAD,TRY,-
Canadian Dollar (CAD),CAD,VEF,-
Canadian Dollar (CAD),CAD,VND,-
Canadian Dollar (CAD),CAD,ZMK,-
Euro (EUR),EUR,AUD,-
Euro (EUR),EUR,CAD,-
Euro (EUR),EUR,EUR,-
Euro (EUR),EUR,JPY,-
Euro (EUR),EUR,PKR,-
Euro (EUR),EUR,AED,-
Euro (EUR),EUR,GBP,-
Euro (EUR),EUR,USD,-
Euro (EUR),EUR,AFN,-
Euro (EUR),EUR,ALL,-
Euro (EUR),EUR,DZD,-
Euro (EUR),EUR,ARS,-
Euro (EUR),EUR,BSD,-
Euro (EUR),EUR,BHD,-
Euro (EUR),EUR,BDT,-
Euro (EUR),EUR,BBD,-
Euro (EUR),EUR,BMD,-
Euro (EUR),EUR,BRL,-
Euro (EUR),EUR,BGN,-
Euro (EUR),EUR,XOF,-
Euro (EUR),EUR,XAF,-
Euro (EUR),EUR,CLP,-
Euro (EUR),EUR,CNY,-
Euro (EUR),EUR,COP,-
Euro (EUR),EUR,XPF,-
Euro (EUR),EUR,CRC,-
Euro (EUR),EUR,HRK,-
Euro (EUR),EUR,CZK,-
Euro (EUR),EUR,DKK,-
Euro (EUR),EUR,DOP,-
Euro (EUR),EUR,XCD,-
Euro (EUR),EUR,EGP,-
Euro (EUR),EUR,EEK,-
Euro (EUR),EUR,FJD,-
Euro (EUR),EUR,HKD,-
Euro (EUR),EUR,HUF,-
Euro (EUR),EUR,ISK,-
Euro (EUR),EUR,XDR,-
Euro (EUR),EUR,INR,-
Euro (EUR),EUR,IDR,-
Euro (EUR),EUR,IRR,-
Euro (EUR),EUR,IQD,-
Euro (EUR),EUR,ILS,-
Euro (EUR),EUR,JMD,-
Euro (EUR),EUR,JOD,-
Euro (EUR),EUR,KES,-
Euro (EUR),EUR,KWD,-
Euro (EUR),EUR,LBP,-
Euro (EUR),EUR,MYR,-
Euro (EUR),EUR,MUR,-
Euro (EUR),EUR,MXN,-
Euro (EUR),EUR,MAD,-
Euro (EUR),EUR,NZD,-
Euro (EUR),EUR,NOK,-
Euro (EUR),EUR,OMR,-
Euro (EUR),EUR,PEN,-
Euro (EUR),EUR,PHP,-
Euro (EUR),EUR,PLN,-
Euro (EUR),EUR,QAR,-
Euro (EUR),EUR,RON,-
Euro (EUR),EUR,RUB,-
Euro (EUR),EUR,SAR,-
Euro (EUR),EUR,SGD,-
Euro (EUR),EUR,SKK,-
Euro (EUR),EUR,ZAR,-
Euro (EUR),EUR,KRW,-
Euro (EUR),EUR,LKR,-
Euro (EUR),EUR,SDG,-
Euro (EUR),EUR,SEK,-
Euro (EUR),EUR,CHF,-
Euro (EUR),EUR,TWD,-
Euro (EUR),EUR,THB,-
Euro (EUR),EUR,TTD,-
Euro (EUR),EUR,TND,-
Euro (EUR),EUR,TRY,-
Euro (EUR),EUR,VEF,-
Euro (EUR),EUR,VND,-
Euro (EUR),EUR,ZMK,-
Japanese Yen (JPY),JPY,AUD,-
Japanese Yen (JPY),JPY,CAD,-
Japanese Yen (JPY),JPY,EUR,-
Japanese Yen (JPY),JPY,JPY,-
Japanese Yen (JPY),JPY,PKR,-
Japanese Yen (JPY),JPY,AED,-
Japanese Yen (JPY),JPY,GBP,-
Japanese Yen (JPY),JPY,USD,-
Japanese Yen (JPY),JPY,AFN,-
Japanese Yen (JPY),JPY,ALL,-
Japanese Yen (JPY),JPY,DZD,-
Japanese Yen (JPY),JPY,ARS,-
Japanese Yen (JPY),JPY,BSD,-
Japanese Yen (JPY),JPY,BHD,-
Japanese Yen (JPY),JPY,BDT,-
Japanese Yen (JPY),JPY,BBD,-
Japanese Yen (JPY),JPY,BMD,-
Japanese Yen (JPY),JPY,BRL,-
Japanese Yen (JPY),JPY,BGN,-
Japanese Yen (JPY),JPY,XOF,-
Japanese Yen (JPY),JPY,XAF,-
Japanese Yen (JPY),JPY,CLP,-
Japanese Yen (JPY),JPY,CNY,-
Japanese Yen (JPY),JPY,COP,-
Japanese Yen (JPY),JPY,XPF,-
Japanese Yen (JPY),JPY,CRC,-
Japanese Yen (JPY),JPY,HRK,-
Japanese Yen (JPY),JPY,CZK,-
Japanese Yen (JPY),JPY,DKK,-
Japanese Yen (JPY),JPY,DOP,-
Japanese Yen (JPY),JPY,XCD,-
Japanese Yen (JPY),JPY,EGP,-
Japanese Yen (JPY),JPY,EEK,-
Japanese Yen (JPY),JPY,FJD,-
Japanese Yen (JPY),JPY,HKD,-
Japanese Yen (JPY),JPY,HUF,-
Japanese Yen (JPY),JPY,ISK,-
Japanese Yen (JPY),JPY,XDR,-
Japanese Yen (JPY),JPY,INR,-
Japanese Yen (JPY),JPY,IDR,-
Japanese Yen (JPY),JPY,IRR,-
Japanese Yen (JPY),JPY,IQD,-
Japanese Yen (JPY),JPY,ILS,-
Japanese Yen (JPY),JPY,JMD,-
Japanese Yen (JPY),JPY,JOD,-
Japanese Yen (JPY),JPY,KES,-
Japanese Yen (JPY),JPY,KWD,-
Japanese Yen (JPY),JPY,LBP,-
Japanese Yen (JPY),JPY,MYR,-
Japanese Yen (JPY),JPY,MUR,-
Japanese Yen (JPY),JPY,MXN,-
Japanese Yen (JPY),JPY,MAD,-
Japanese Yen (JPY),JPY,NZD,-
Japanese Yen (JPY),JPY,NOK,-
Japanese Yen (JPY),JPY,OMR,-
Japanese Yen (JPY),JPY,PEN,-
Japanese Yen (JPY),JPY,PHP,-
Japanese Yen (JPY),JPY,PLN,-
Japanese Yen (JPY),JPY,QAR,-
Japanese Yen (JPY),JPY,RON,-
Japanese Yen (JPY),JPY,RUB,-
Japanese Yen (JPY),JPY,SAR,-
Japanese Yen (JPY),JPY,SGD,-
Japanese Yen (JPY),JPY,SKK,-
Japanese Yen (JPY),JPY,ZAR,-
Japanese Yen (JPY),JPY,KRW,-
Japanese Yen (JPY),JPY,LKR,-
Japanese Yen (JPY),JPY,SDG,-
Japanese Yen (JPY),JPY,SEK,-
Japanese Yen (JPY),JPY,CHF,-
Japanese Yen (JPY),JPY,TWD,-
Japanese Yen (JPY),JPY,THB,-
Japanese Yen (JPY),JPY,TTD,-
Japanese Yen (JPY),JPY,TND,-
Japanese Yen (JPY),JPY,TRY,-
Japanese Yen (JPY),JPY,VEF,-
Japanese Yen (JPY),JPY,VND,-
Japanese Yen (JPY),JPY,ZMK,-
Pakistan Rupee (PKR),PKR,AUD,-
Pakistan Rupee (PKR),PKR,CAD,-
Pakistan Rupee (PKR),PKR,EUR,-
Pakistan Rupee (PKR),PKR,JPY,-
Pakistan Rupee (PKR),PKR,PKR,-
Pakistan Rupee (PKR),PKR,AED,-
Pakistan Rupee (PKR),PKR,GBP,-
Pakistan Rupee (PKR),PKR,USD,-
Pakistan Rupee (PKR),PKR,AFN,-
Pakistan Rupee (PKR),PKR,ALL,-
Pakistan Rupee (PKR),PKR,DZD,-
Pakistan Rupee (PKR),PKR,ARS,-
Pakistan Rupee (PKR),PKR,BSD,-
Pakistan Rupee (PKR),PKR,BHD,-
Pakistan Rupee (PKR),PKR,BDT,-
Pakistan Rupee (PKR),PKR,BBD,-
Pakistan Rupee (PKR),PKR,BMD,-
Pakistan Rupee (PKR),PKR,BRL,-
Pakistan Rupee (PKR),PKR,BGN,-
Pakistan Rupee (PKR),PKR,XOF,-
Pakistan Rupee (PKR),PKR,XAF,-
Pakistan Rupee (PKR),PKR,CLP,-
Pakistan Rupee (PKR),PKR,CNY,-
Pakistan Rupee (PKR),PKR,COP,-
Pakistan Rupee (PKR),PKR,XPF,-
Pakistan Rupee (PKR),PKR,CRC,-
Pakistan Rupee (PKR),PKR,HRK,-
Pakistan Rupee (PKR),PKR,CZK,-
Pakistan Rupee (PKR),PKR,DKK,-
Pakistan Rupee (PKR),PKR,DOP,-
Pakistan Rupee (PKR),PKR,XCD,-
Pakistan Rupee (PKR),PKR,EGP,-
Pakistan Rupee (PKR),PKR,EEK,-
Pakistan Rupee (PKR),PKR,FJD,-
Pakistan Rupee (PKR),PKR,HKD,-
Pakistan Rupee (PKR),PKR,HUF,-
Pakistan Rupee (PKR),PKR,ISK,-
Pakistan Rupee (PKR),PKR,XDR,-
Pakistan Rupee (PKR),PKR,INR,-
Pakistan Rupee (PKR),PKR,IDR,-
Pakistan Rupee (PKR),PKR,IRR,-
Pakistan Rupee (PKR),PKR,IQD,-
Pakistan Rupee (PKR),PKR,ILS,-
Pakistan Rupee (PKR),PKR,JMD,-
Pakistan Rupee (PKR),PKR,JOD,-
Pakistan Rupee (PKR),PKR,KES,-
Pakistan Rupee (PKR),PKR,KWD,-
Pakistan Rupee (PKR),PKR,LBP,-
Pakistan Rupee (PKR),PKR,MYR,-
Pakistan Rupee (PKR),PKR,MUR,-
Pakistan Rupee (PKR),PKR,MXN,-
Pakistan Rupee (PKR),PKR,MAD,-
Pakistan Rupee (PKR),PKR,NZD,-
Pakistan Rupee (PKR),PKR,NOK,-
Pakistan Rupee (PKR),PKR,OMR,-
Pakistan Rupee (PKR),PKR,PEN,-
Pakistan Rupee (PKR),PKR,PHP,-
Pakistan Rupee (PKR),PKR,PLN,-
Pakistan Rupee (PKR),PKR,QAR,-
Pakistan Rupee (PKR),PKR,RON,-
Pakistan Rupee (PKR),PKR,RUB,-
Pakistan Rupee (PKR),PKR,SAR,-
Pakistan Rupee (PKR),PKR,SGD,-
Pakistan Rupee (PKR),PKR,SKK,-
Pakistan Rupee (PKR),PKR,ZAR,-
Pakistan Rupee (PKR),PKR,KRW,-
Pakistan Rupee (PKR),PKR,LKR,-
Pakistan Rupee (PKR),PKR,SDG,-
Pakistan Rupee (PKR),PKR,SEK,-
Pakistan Rupee (PKR),PKR,CHF,-
Pakistan Rupee (PKR),PKR,TWD,-
Pakistan Rupee (PKR),PKR,THB,-
Pakistan Rupee (PKR),PKR,TTD,-
Pakistan Rupee (PKR),PKR,TND,-
Pakistan Rupee (PKR),PKR,TRY,-
Pakistan Rupee (PKR),PKR,VEF,-
Pakistan Rupee (PKR),PKR,VND,-
Pakistan Rupee (PKR),PKR,ZMK,-
U.A.E Dirham (AED),AED,AUD,-
U.A.E Dirham (AED),AED,CAD,-
U.A.E Dirham (AED),AED,EUR,-
U.A.E Dirham (AED),AED,JPY,-
U.A.E Dirham (AED),AED,PKR,-
U.A.E Dirham (AED),AED,AED,-
U.A.E Dirham (AED),AED,GBP,-
U.A.E Dirham (AED),AED,USD,-
U.A.E Dirham (AED),AED,AFN,-
U.A.E Dirham (AED),AED,ALL,-
U.A.E Dirham (AED),AED,DZD,-
U.A.E Dirham (AED),AED,ARS,-
U.A.E Dirham (AED),AED,BSD,-
U.A.E Dirham (AED),AED,BHD,-
U.A.E Dirham (AED),AED,BDT,-
U.A.E Dirham (AED),AED,BBD,-
U.A.E Dirham (AED),AED,BMD,-
U.A.E Dirham (AED),AED,BRL,-
U.A.E Dirham (AED),AED,BGN,-
U.A.E Dirham (AED),AED,XOF,-
U.A.E Dirham (AED),AED,XAF,-
U.A.E Dirham (AED),AED,CLP,-
U.A.E Dirham (AED),AED,CNY,-
U.A.E Dirham (AED),AED,COP,-
U.A.E Dirham (AED),AED,XPF,-
U.A.E Dirham (AED),AED,CRC,-
U.A.E Dirham (AED),AED,HRK,-
U.A.E Dirham (AED),AED,CZK,-
U.A.E Dirham (AED),AED,DKK,-
U.A.E Dirham (AED),AED,DOP,-
U.A.E Dirham (AED),AED,XCD,-
U.A.E Dirham (AED),AED,EGP,-
U.A.E Dirham (AED),AED,EEK,-
U.A.E Dirham (AED),AED,FJD,-
U.A.E Dirham (AED),AED,HKD,-
U.A.E Dirham (AED),AED,HUF,-
U.A.E Dirham (AED),AED,ISK,-
U.A.E Dirham (AED),AED,XDR,-
U.A.E Dirham (AED),AED,INR,-
U.A.E Dirham (AED),AED,IDR,-
U.A.E Dirham (AED),AED,IRR,-
U.A.E Dirham (AED),AED,IQD,-
U.A.E Dirham (AED),AED,ILS,-
U.A.E Dirham (AED),AED,JMD,-
U.A.E Dirham (AED),AED,JOD,-
U.A.E Dirham (AED),AED,KES,-
U.A.E Dirham (AED),AED,KWD,-
U.A.E Dirham (AED),AED,LBP,-
U.A.E Dirham (AED),AED,MYR,-
U.A.E Dirham (AED),AED,MUR,-
U.A.E Dirham (AED),AED,MXN,-
U.A.E Dirham (AED),AED,MAD,-
U.A.E Dirham (AED),AED,NZD,-
U.A.E Dirham (AED),AED,NOK,-
U.A.E Dirham (AED),AED,OMR,-
U.A.E Dirham (AED),AED,PEN,-
U.A.E Dirham (AED),AED,PHP,-
U.A.E Dirham (AED),AED,PLN,-
U.A.E Dirham (AED),AED,QAR,-
U.A.E Dirham (AED),AED,RON,-
U.A.E Dirham (AED),AED,RUB,-
U.A.E Dirham (AED),AED,SAR,-
U.A.E Dirham (AED),AED,SGD,-
U.A.E Dirham (AED),AED,SKK,-
U.A.E Dirham (AED),AED,ZAR,-
U.A.E Dirham (AED),AED,KRW,-
U.A.E Dirham (AED),AED,LKR,-
U.A.E Dirham (AED),AED,SDG,-
U.A.E Dirham (AED),AED,SEK,-
U.A.E Dirham (AED),AED,CHF,-
U.A.E Dirham (AED),AED,TWD,-
U.A.E Dirham (AED),AED,THB,-
U.A.E Dirham (AED),AED,TTD,-
U.A.E Dirham (AED),AED,TND,-
U.A.E Dirham (AED),AED,TRY,-
U.A.E Dirham (AED),AED,VEF,-
U.A.E Dirham (AED),AED,VND,-
U.A.E Dirham (AED),AED,ZMK,-
UK Pound Sterling (GBP),GBP,AUD,-
UK Pound Sterling (GBP),GBP,CAD,-
UK Pound Sterling (GBP),GBP,EUR,-
UK Pound Sterling (GBP),GBP,JPY,-
UK Pound Sterling (GBP),GBP,PKR,-
UK Pound Sterling (GBP),GBP,AED,-
UK Pound Sterling (GBP),GBP,GBP,-
UK Pound Sterling (GBP),GBP,USD,-
UK Pound Sterling (GBP),GBP,AFN,-
UK Pound Sterling (GBP),GBP,ALL,-
UK Pound Sterling (GBP),GBP,DZD,-
UK Pound Sterling (GBP),GBP,ARS,-
UK Pound Sterling (GBP),GBP,BSD,-
UK Pound Sterling (GBP),GBP,BHD,-
UK Pound Sterling (GBP),GBP,BDT,-
UK Pound Sterling (GBP),GBP,BBD,-
UK Pound Sterling (GBP),GBP,BMD,-
UK Pound Sterling (GBP),GBP,BRL,-
UK Pound Sterling (GBP),GBP,BGN,-
UK Pound Sterling (GBP),GBP,XOF,-
UK Pound Sterling (GBP),GBP,XAF,-
UK Pound Sterling (GBP),GBP,CLP,-
UK Pound Sterling (GBP),GBP,CNY,-
UK Pound Sterling (GBP),GBP,COP,-
UK Pound Sterling (GBP),GBP,XPF,-
UK Pound Sterling (GBP),GBP,CRC,-
UK Pound Sterling (GBP),GBP,HRK,-
UK Pound Sterling (GBP),GBP,CZK,-
UK Pound Sterling (GBP),GBP,DKK,-
UK Pound Sterling (GBP),GBP,DOP,-
UK Pound Sterling (GBP),GBP,XCD,-
UK Pound Sterling (GBP),GBP,EGP,-
UK Pound Sterling (GBP),GBP,EEK,-
UK Pound Sterling (GBP),GBP,FJD,-
UK Pound Sterling (GBP),GBP,HKD,-
UK Pound Sterling (GBP),GBP,HUF,-
UK Pound Sterling (GBP),GBP,ISK,-
UK Pound Sterling (GBP),GBP,XDR,-
UK Pound Sterling (GBP),GBP,INR,-
UK Pound Sterling (GBP),GBP,IDR,-
UK Pound Sterling (GBP),GBP,IRR,-
UK Pound Sterling (GBP),GBP,IQD,-
UK Pound Sterling (GBP),GBP,ILS,-
UK Pound Sterling (GBP),GBP,JMD,-
UK Pound Sterling (GBP),GBP,JOD,-
UK Pound Sterling (GBP),GBP,KES,-
UK Pound Sterling (GBP),GBP,KWD,-
UK Pound Sterling (GBP),GBP,LBP,-
UK Pound Sterling (GBP),GBP,MYR,-
UK Pound Sterling (GBP),GBP,MUR,-
UK Pound Sterling (GBP),GBP,MXN,-
UK Pound Sterling (GBP),GBP,MAD,-
UK Pound Sterling (GBP),GBP,NZD,-
UK Pound Sterling (GBP),GBP,NOK,-
UK Pound Sterling (GBP),GBP,OMR,-
UK Pound Sterling (GBP),GBP,PEN,-
UK Pound Sterling (GBP),GBP,PHP,-
UK Pound Sterling (GBP),GBP,PLN,-
UK Pound Sterling (GBP),GBP,QAR,-
UK Pound Sterling (GBP),GBP,RON,-
UK Pound Sterling (GBP),GBP,RUB,-
UK Pound Sterling (GBP),GBP,SAR,-
UK Pound Sterling (GBP),GBP,SGD,-
UK Pound Sterling (GBP),GBP,SKK,-
UK Pound Sterling (GBP),GBP,ZAR,-
UK Pound Sterling (GBP),GBP,KRW,-
UK Pound Sterling (GBP),GBP,LKR,-
UK Pound Sterling (GBP),GBP,SDG,-
UK Pound Sterling (GBP),GBP,SEK,-
UK Pound Sterling (GBP),GBP,CHF,-
UK Pound Sterling (GBP),GBP,TWD,-
UK Pound Sterling (GBP),GBP,THB,-
UK Pound Sterling (GBP),GBP,TTD,-
UK Pound Sterling (GBP),GBP,TND,-
UK Pound Sterling (GBP),GBP,TRY,-
UK Pound Sterling (GBP),GBP,VEF,-
UK Pound Sterling (GBP),GBP,VND,-
UK Pound Sterling (GBP),GBP,ZMK,-
US Dollar (USD),USD,AUD,-
US Dollar (USD),USD,CAD,-
US Dollar (USD),USD,EUR,-
US Dollar (USD),USD,JPY,-
US Dollar (USD),USD,PKR,-
US Dollar (USD),USD,AED,-
US Dollar (USD),USD,GBP,-
US Dollar (USD),USD,USD,-
US Dollar (USD),USD,AFN,-
US Dollar (USD),USD,ALL,-
US Dollar (USD),USD,DZD,-
US Dollar (USD),USD,ARS,-
US Dollar (USD),USD,BSD,-
US Dollar (USD),USD,BHD,-
US Dollar (USD),USD,BDT,-
US Dollar (USD),USD,BBD,-
US Dollar (USD),USD,BMD,-
US Dollar (USD),USD,BRL,-
US Dollar (USD),USD,BGN,-
US Dollar (USD),USD,XOF,-
US Dollar (USD),USD,XAF,-
US Dollar (USD),USD,CLP,-
US Dollar (USD),USD,CNY,-
US Dollar (USD),USD,COP,-
US Dollar (USD),USD,XPF,-
US Dollar (USD),USD,CRC,-
US Dollar (USD),USD,HRK,-
US Dollar (USD),USD,CZK,-
US Dollar (USD),USD,DKK,-
US Dollar (USD),USD,DOP,-
US Dollar (USD),USD,XCD,-
US Dollar (USD),USD,EGP,-
US Dollar (USD),USD,EEK,-
US Dollar (USD),USD,FJD,-
US Dollar (USD),USD,HKD,-
US Dollar (USD),USD,HUF,-
US Dollar (USD),USD,ISK,-
US Dollar (USD),USD,XDR,-
US Dollar (USD),USD,INR,-
US Dollar (USD),USD,IDR,-
US Dollar (USD),USD,IRR,-
US Dollar (USD),USD,IQD,-
US Dollar (USD),USD,ILS,-
US Dollar (USD),USD,JMD,-
US Dollar (USD),USD,JOD,-
US Dollar (USD),USD,KES,-
US Dollar (USD),USD,KWD,-
US Dollar (USD),USD,LBP,-
US Dollar (USD),USD,MYR,-
US Dollar (USD),USD,MUR,-
US Dollar (USD),USD,MXN,-
US Dollar (USD),USD,MAD,-
US Dollar (USD),USD,NZD,-
US Dollar (USD),USD,NOK,-
US Dollar (USD),USD,OMR,-
US Dollar (USD),USD,PEN,-
US Dollar (USD),USD,PHP,-
US Dollar (USD),USD,PLN,-
US Dollar (USD),USD,QAR,-
US Dollar (USD),USD,RON,-
US Dollar (USD),USD,RUB,-
US Dollar (USD),USD,SAR,-
US Dollar (USD),USD,SGD,-
US Dollar (USD),USD,SKK,-
US Dollar (USD),USD,ZAR,-
US Dollar (USD),USD,KRW,-
US Dollar (USD),USD,LKR,-
US Dollar (USD),USD,SDG,-
US Dollar (USD),USD,SEK,-
US Dollar (USD),USD,CHF,-
US Dollar (USD),USD,TWD,-
US Dollar (USD),USD,THB,-
US Dollar (USD),USD,TTD,-
US Dollar (USD),USD,TND,-
US Dollar (USD),USD,TRY,-
US Dollar (USD),USD,VEF,-
US Dollar (USD),USD,VND,-
US Dollar (USD),USD,ZMK,-
Afghanistan Afghanis (AFN),AFN,AUD,-
Afghanistan Afghanis (AFN),AFN,CAD,-
Afghanistan Afghanis (AFN),AFN,EUR,-
Afghanistan Afghanis (AFN),AFN,JPY,-
Afghanistan Afghanis (AFN),AFN,PKR,-
Afghanistan Afghanis (AFN),AFN,AED,-
Afghanistan Afghanis (AFN),AFN,GBP,-
Afghanistan Afghanis (AFN),AFN,USD,-
Afghanistan Afghanis (AFN),AFN,AFN,-
Afghanistan Afghanis (AFN),AFN,ALL,-
Afghanistan Afghanis (AFN),AFN,DZD,-
Afghanistan Afghanis (AFN),AFN,ARS,-
Afghanistan Afghanis (AFN),AFN,BSD,-
Afghanistan Afghanis (AFN),AFN,BHD,-
Afghanistan Afghanis (AFN),AFN,BDT,-
Afghanistan Afghanis (AFN),AFN,BBD,-
Afghanistan Afghanis (AFN),AFN,BMD,-
